period,industry_branch,seasonally_adjusted_production,calendar_corrected_production_change_year_on_year,previous_period_seasonally_adjusted_production_change
2021-01-01,chemicals,99,0.7,-0.4
2021-01-01,pharma,88.3,5.4,-20.9
2021-01-01,total_manufacturing,97.6,0.4,4.2
2021-02-01,chemicals,99,-1.2,0
2021-02-01,pharma,80.9,-8.9,-8.4
2021-02-01,total_manufacturing,94.4,-3.7,-3.3
2021-03-01,chemicals,97.3,2.8,-1.8
2021-03-01,pharma,90.1,-13.3,11.4
2021-03-01,total_manufacturing,96.6,2.7,2.3
2021-04-01,chemicals,97.6,7.8,0.4
2021-04-01,pharma,97,4.8,7.7
2021-04-01,total_manufacturing,97.5,11.3,0.9
2021-05-01,chemicals,96.4,8.4,-1.3
2021-05-01,pharma,95.4,0,-1.7
2021-05-01,total_manufacturing,98.2,12.6,0.8
2021-06-01,chemicals,98.3,5.7,2
2021-06-01,pharma,97.7,9,2.3
2021-06-01,total_manufacturing,100,13.4,1.8
2021-07-01,chemicals,99.5,3.1,1.2
2021-07-01,pharma,110.7,24.3,13.4
2021-07-01,total_manufacturing,100.3,9.2,0.3
2021-08-01,chemicals,98.7,3.2,-0.7
2021-08-01,pharma,101.4,21.3,-8.5
2021-08-01,total_manufacturing,99.7,5.6,-0.6
2021-09-01,chemicals,101.6,4.2,2.9
2021-09-01,pharma,104.4,18.6,3
2021-09-01,total_manufacturing,100.9,7.5,1.2
2021-10-01,chemicals,103.6,4.4,2
2021-10-01,pharma,111.1,15.2,6.5
2021-10-01,total_manufacturing,102.5,7.9,1.6
2021-11-01,chemicals,103.7,1.7,0.1
2021-11-01,pharma,118.3,31.6,6.5
2021-11-01,total_manufacturing,104,9.5,1.4
2021-12-01,chemicals,104.6,5.9,0.8
2021-12-01,pharma,102.6,-8,-13.2
2021-12-01,total_manufacturing,104.9,12.7,0.9
2022-01-01,chemicals,104.6,5.5,0.1
2022-01-01,pharma,104,17.7,1.3
2022-01-01,total_manufacturing,104.9,7.3,0
2022-02-01,chemicals,104.1,5.2,-0.5
2022-02-01,pharma,95.8,18.4,-7.8
2022-02-01,total_manufacturing,104.4,10.6,-0.5
2022-03-01,chemicals,103.4,5.9,-0.7
2022-03-01,pharma,103.9,15.3,8.5
2022-03-01,total_manufacturing,105.1,9,0.7
2022-04-01,chemicals,103.9,6.5,0.4
2022-04-01,pharma,99.7,2.8,-4
2022-04-01,total_manufacturing,109.6,12.3,4.3
2022-05-01,chemicals,102.9,6.5,-1
2022-05-01,pharma,107,12.2,7.3
2022-05-01,total_manufacturing,108.4,10.4,-1.1
2022-06-01,chemicals,97.7,-0.6,-5
2022-06-01,pharma,113.7,16.4,6.2
2022-06-01,total_manufacturing,108.8,9,0.4
2022-07-01,chemicals,97.4,-2,-0.3
2022-07-01,pharma,115.1,4,1.3
2022-07-01,total_manufacturing,108,8.1,-0.7
2022-08-01,chemicals,97.5,-1.2,0.1
2022-08-01,pharma,113.8,12.3,-1.1
2022-08-01,total_manufacturing,107.8,8.3,-0.2
2022-09-01,chemicals,97.1,-4.5,-0.4
2022-09-01,pharma,126.3,21,10.9
2022-09-01,total_manufacturing,108.9,7.9,1
2022-10-01,chemicals,91.1,-12,-6.1
2022-10-01,pharma,113.8,2.4,-9.9
2022-10-01,total_manufacturing,108.2,5.4,-0.7
2022-11-01,chemicals,88.8,-14.5,-2.5
2022-11-01,pharma,119.2,0.7,4.8
2022-11-01,total_manufacturing,107.8,3.5,-0.3
2022-12-01,chemicals,87.7,-16.4,-1.2
2022-12-01,pharma,139.4,35.8,16.9
2022-12-01,total_manufacturing,108.5,4,0.6
2023-01-01,chemicals,85.8,-17.8,-2.2
2023-01-01,pharma,109.7,5.5,-21.3
2023-01-01,total_manufacturing,108.1,2.6,-0.3
